Num_Acc,road_type,road_surface,infrastructure,situation,speed_limit,road_profile,road_layout
202400000001,3,1,0,1,90,1,2
202400000002,4,9,0,1,30,1,1
202400000003,4,1,0,3,50,1,1
202400000004,4,1,9,1,50,1,1
202400000005,1,2,0,1,50,1,1
202400000006,4,1,5,1,50,1,1
202400000007,6,1,9,1,50,1,2
202400000008,4,1,0,1,50,1,1
202400000009,4,1,0,3,50,1,2
202400000010,4,1,0,5,50,1,1
202400000011,4,1,0,1,70,1,1
202400000012,4,8,0,1,70,1,1
202400000013,4,1,0,1,30,1,1
202400000014,4,1,0,1,30,1,1
202400000015,4,1,0,8,20,1,1
202400000016,4,1,0,5,30,2,1
202400000017,4,1,0,1,30,1,1
202400000018,4,1,0,1,50,1,1
202400000019,4,2,0,1,30,1,1
202400000020,3,1,0,1,50,2,1
202400000021,3,1,-1,6,-1,1,1
202400000022,3,1,0,1,80,1,1
202400000023,4,1,0,1,50,1,1
202400000024,4,1,0,4,50,2,1
202400000025,3,1,0,1,70,1,1
202400000026,4,1,0,6,25,1,1
202400000027,4,1,0,1,50,2,3
202400000028,4,1,9,1,30,1,1
202400000029,4,1,0,1,50,4,1
202400000030,4,1,0,1,50,1,1
202400000031,4,1,0,1,30,2,1
202400000032,4,1,0,1,50,1,1
202400000033,4,1,8,1,50,1,1
202400000034,4,1,0,1,50,1,1
202400000035,4,1,0,1,50,1,1
202400000036,4,1,0,8,50,1,1
202400000037,3,1,9,3,30,1,1
202400000038,2,1,8,1,80,1,1
202400000039,4,1,0,1,50,1,1
202400000040,3,1,0,1,50,1,1
202400000041,4,1,0,4,50,1,1
202400000042,3,1,9,1,70,1,1
202400000043,4,1,0,1,50,1,1
202400000044,1,2,8,1,70,1,1
202400000045,4,1,0,8,50,1,1
202400000046,1,2,3,1,70,3,3
202400000047,4,1,0,1,30,1,1
202400000048,1,1,3,1,90,1,1
202400000049,3,1,0,3,70,1,1
202400000050,2,2,0,1,70,1,1
202400000051,3,1,0,1,70,1,1
202400000052,1,1,0,1,90,1,1
202400000053,3,2,0,3,110,1,2
202400000054,1,1,0,1,70,1,1
202400000055,2,2,1,1,70,1,1
202400000056,2,1,3,1,50,1,1
202400000057,3,1,0,1,50,1,3
202400000058,1,2,0,1,110,1,1
202400000059,3,1,0,1,90,1,3
202400000060,1,1,0,1,110,1,1
202400000061,3,1,0,1,110,1,1
202400000062,3,1,5,1,50,1,3
202400000063,1,1,1,1,90,1,1
202400000064,3,1,0,1,50,1,1
202400000065,1,2,0,1,70,2,3
202400000066,3,2,0,3,50,1,1
202400000067,2,2,0,1,110,2,1
202400000068,4,1,0,1,50,1,1
202400000069,3,2,0,3,-1,1,1
202400000070,3,2,0,3,80,1,1
202400000071,4,1,5,1,30,1,1
202400000072,3,1,0,1,50,1,1
202400000073,4,1,5,1,20,1,1
202400000074,4,1,0,5,50,2,2
202400000075,4,1,0,1,50,1,1
202400000076,2,1,9,1,50,1,2
202400000077,3,1,0,1,80,1,1
202400000078,7,2,0,1,50,1,1
202400000079,3,2,0,1,30,1,1
202400000080,3,1,0,1,50,1,2
202400000081,4,1,0,5,30,1,1
202400000082,3,1,0,1,50,1,1
202400000083,2,1,0,1,90,1,1
202400000084,1,1,0,1,130,2,1
202400000085,3,2,0,1,80,1,1
202400000086,2,1,5,3,-1,4,1
202400000087,4,1,0,1,50,1,1
202400000088,4,1,0,1,50,1,1
202400000089,3,1,0,1,80,2,4
202400000090,1,1,0,1,130,1,1
202400000091,3,1,2,1,50,1,2
202400000092,3,2,0,8,80,1,3
202400000093,3,1,0,1,90,1,1
202400000094,4,1,0,8,50,1,1
202400000095,3,2,0,1,50,1,1
202400000096,2,1,0,1,90,1,1
202400000097,2,1,0,1,90,2,1
202400000098,1,1,0,1,90,1,1
202400000099,1,1,0,1,110,1,1
202400000100,2,1,0,1,70,1,1
202400000101,1,1,0,1,110,1,1
202400000102,2,2,0,1,90,2,2
202400000103,1,1,0,1,90,1,1
202400000104,3,1,0,5,50,1,1
202400000105,3,1,0,1,50,1,1
202400000106,4,1,0,1,50,1,1
202400000107,3,1,0,1,50,1,1
202400000108,4,1,0,1,50,1,1
202400000109,4,2,0,2,70,1,2
202400000110,4,1,0,1,30,1,1
202400000111,4,1,0,1,30,1,1
202400000112,1,1,0,1,90,1,1
202400000113,3,1,0,8,70,1,1
202400000114,4,1,2,1,50,1,1
202400000115,4,1,0,1,50,1,1
202400000116,4,1,0,1,30,1,1
202400000117,3,1,0,1,70,2,1
202400000118,3,1,0,1,80,2,2
202400000119,4,1,0,1,50,1,1
202400000120,3,1,5,1,50,1,1
202400000121,4,1,0,1,50,2,1
202400000122,3,1,0,1,50,2,1
202400000123,4,1,0,4,30,1,1
202400000124,7,1,0,1,50,1,1
202400000125,4,1,0,1,30,1,1
202400000126,4,1,-1,4,50,1,1
202400000127,4,1,0,1,50,1,1
202400000128,4,2,0,3,50,1,1
202400000129,3,1,0,1,90,1,1
202400000130,4,1,0,1,50,1,1
202400000131,4,1,0,1,30,1,1
202400000132,4,1,0,1,50,3,1
202400000133,4,1,0,8,30,1,1
202400000134,4,1,9,4,30,1,1
202400000135,4,1,8,6,50,1,2
202400000136,4,1,0,1,50,1,1
202400000137,4,1,0,1,30,1,1
202400000138,3,1,0,1,50,1,1
202400000139,2,1,0,1,50,2,1
202400000140,4,1,0,3,50,1,1
202400000141,4,1,0,1,50,1,1
202400000142,3,1,0,8,50,1,1
202400000143,4,1,0,1,70,1,1
202400000144,4,1,0,1,30,1,1
202400000145,4,2,9,1,50,1,1
202400000146,4,1,0,1,50,1,1
202400000147,4,1,0,1,50,2,1
202400000148,4,1,0,1,30,1,1
202400000149,4,1,0,1,30,1,1
202400000150,4,1,9,1,30,1,1
202400000151,2,1,0,1,50,1,1
