Num_Acc,date,time_of_day,max_severity,weather,collision_type,lighting,urban_area,department
202400000001,2024-03-25,Morning,3,5,1.0,2,1,70
202400000002,2024-03-20,Afternoon,3,7,6.0,1,2,21
202400000003,2024-03-22,Evening,4,1,6.0,2,1,15
202400000004,2024-03-24,Afternoon,4,7,3.0,1,2,14
202400000005,2024-03-25,Evening,4,2,5.0,5,1,13
202400000006,2024-03-25,Night,4,1,3.0,5,2,13
202400000007,2024-03-24,Night,3,1,3.0,5,2,13
202400000008,2024-03-24,Afternoon,4,1,2.0,1,2,07
202400000009,2024-03-24,Night,4,1,6.0,3,2,07
202400000010,2024-03-25,Evening,3,1,7.0,5,2,06
202400000011,2024-03-24,Evening,4,1,2.0,2,2,75
202400000012,2024-03-24,Night,4,1,7.0,3,2,75
202400000013,2024-03-25,Afternoon,4,1,6.0,1,2,75
202400000014,2024-03-25,Afternoon,4,1,3.0,1,2,75
202400000015,2024-03-25,Morning,4,1,1.0,1,2,75
202400000016,2024-03-25,Afternoon,4,1,3.0,1,2,75
202400000017,2024-03-25,Morning,4,1,6.0,1,2,75
202400000018,2024-03-25,Morning,4,1,3.0,1,2,75
202400000019,2024-03-24,Afternoon,4,1,6.0,1,2,75
202400000020,2024-03-25,Evening,4,1,1.0,5,2,94
202400000021,2024-03-25,Afternoon,4,1,6.0,1,2,94
202400000022,2024-09-19,Afternoon,4,1,6.0,1,1,51
202400000023,2024-09-18,Evening,4,1,3.0,1,2,51
202400000024,2024-09-19,Night,3,1,6.0,3,2,47
202400000025,2024-09-19,Evening,4,1,4.0,1,2,45
202400000026,2024-09-19,Afternoon,4,1,6.0,1,2,45
202400000027,2024-09-19,Afternoon,4,1,6.0,1,2,44
202400000028,2024-09-19,Morning,4,7,6.0,1,2,44
202400000029,2024-09-19,Afternoon,3,1,6.0,1,2,42
202400000030,2024-09-18,Morning,4,1,3.0,1,2,37
202400000031,2024-09-19,Evening,4,1,3.0,5,2,35
202400000032,2024-09-19,Morning,4,1,2.0,1,1,34
202400000033,2024-09-19,Morning,4,1,6.0,1,2,34
202400000034,2024-09-19,Evening,4,1,6.0,5,2,33
202400000035,2024-09-19,Afternoon,4,1,3.0,1,2,33
202400000036,2024-09-18,Afternoon,4,1,1.0,1,2,33
202400000037,2024-09-19,Afternoon,4,1,7.0,1,2,29
202400000038,2024-09-19,Morning,4,1,5.0,1,1,29
202400000039,2024-09-18,Afternoon,4,1,3.0,1,2,28
202400000040,2024-09-19,Afternoon,4,1,5.0,1,2,27
202400000041,2024-05-03,Night,4,1,6.0,3,2,76
202400000042,2024-05-03,Afternoon,4,1,3.0,1,1,59
202400000043,2024-03-25,Morning,4,1,6.0,1,2,94
202400000044,2024-05-02,Morning,3,2,3.0,1,1,13
202400000045,2024-03-25,Evening,4,1,1.0,1,2,92
202400000046,2024-05-01,Evening,4,1,6.0,1,1,83
202400000047,2024-03-25,Morning,4,1,6.0,1,2,92
202400000048,2024-05-02,Afternoon,4,1,4.0,1,1,33
202400000049,2024-03-25,Night,3,1,6.0,3,1,35
202400000050,2024-05-02,Evening,4,2,6.0,2,1,91
